Game,Cover Image
Call of Duty®,https://image.api.playstation.com/vulcan/ap/rnd/202308/1623/ba00d855b4f9061f4f7c294506753f58bf33ac28453a8de4.png
Fortnite,https://image.api.playstation.com/vulcan/ap/rnd/202311/2801/803e41fee0edf8f8ed1de518e6eac60ddf30ac485b9a16a2.png
NBA 2K24,https://image.api.playstation.com/vulcan/ap/rnd/202306/2609/278035a1f94e3a07d4d0f74cd61b987af14a833b65a56cd2.png
Destiny 2,https://image.api.playstation.com/vulcan/ap/rnd/202304/2023/26e6ca6d2f0a245a264308b3474c6efb788a9c6848833425.png
EA SPORTS FC™ 24,https://image.api.playstation.com/vulcan/ap/rnd/202310/0214/c21c0669eaca7f3e02c41cad5e1a20f867aafcf14104f046.png
EA SPORTS™ College Football 25,https://image.api.playstation.com/vulcan/ap/rnd/202405/0218/6d6040594205ce3edbfb049d02f4fb12dd4695e354c47db0.png
Madden NFL 24,https://image.api.playstation.com/vulcan/ap/rnd/202404/1220/e6044031d9a93f63b2ed95b1aae1c7d3239742390982c9d3.png
MLB® The Show™ 24,https://image.api.playstation.com/vulcan/ap/rnd/202401/0519/bd9edd225756f2eac93c02ee66e3fb3df62dfcea02c5564c.png
Grand Theft Auto V (PlayStation®5),https://image.api.playstation.com/vulcan/ap/rnd/202202/2816/K6mmm89oNII1iI1aqaClO0wh.png
MultiVersus,https://image.api.playstation.com/vulcan/ap/rnd/202403/1113/3aff59718d88d1701a462d68c12f8b6d4cac656548d31721.png
Roblox,https://image.api.playstation.com/vulcan/ap/rnd/202309/1519/a8f7812fb2d0139ab7d0103ba945ef15708d30a626ffd5dc.png
Minecraft,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA00265_00/8/i_1c2d1812f27ec71285072e191d1822134e4f9730141c88537d87837014a17295/i/icon0.png
ELDEN RING,https://image.api.playstation.com/vulcan/ap/rnd/202107/0902/fS3Hhaq06TqLrbjMVplA8MaY.png
Sea of Thieves,https://image.api.playstation.com/vulcan/ap/rnd/202402/2811/d0338c0adc01bdaf7407068a90b4bf8a865939ce44ae22ac.png
Killer Klowns from Outer Space: The Game,https://image.api.playstation.com/vulcan/ap/rnd/202308/1415/b45d3f6e86101f97814ab1ac33493dcd37a2687b0a130886.png
